normal,,,,abnormal,,,
sample1,sample2,sample3,sample4,sample1,sample2,sample3,sample4
-0.032258,-0.096774,0.096774,0.032258,-0.161290,-0.032258,-0.161290,-0.161290
-0.096774,0.096774,0.032258,0.032258,-0.032258,-0.161290,-0.161290,0.032258
0.096774,0.032258,0.032258,0.096774,-0.161290,-0.161290,0.032258,-0.032258
0.032258,0.032258,0.096774,-0.032258,-0.161290,0.032258,-0.032258,0.096774
0.032258,0.096774,-0.032258,0.096774,0.032258,-0.032258,0.096774,-0.096774
0.096774,-0.032258,0.096774,0.096774,-0.032258,0.096774,-0.096774,-0.161290
-0.032258,0.096774,0.096774,0.096774,0.096774,-0.096774,-0.161290,-0.161290
0.096774,0.096774,0.096774,0.096774,-0.096774,-0.161290,-0.161290,-0.161290
0.096774,0.096774,0.096774,-0.096774,-0.161290,-0.161290,-0.161290,-0.096774
0.096774,0.096774,-0.096774,0.032258,-0.161290,-0.161290,-0.096774,-0.096774
0.096774,-0.096774,0.032258,-0.032258,-0.161290,-0.096774,-0.096774,-0.032258
-0.096774,0.032258,-0.032258,-0.096774,-0.096774,-0.096774,-0.032258,-0.032258
0.032258,-0.032258,-0.096774,-0.096774,-0.096774,-0.032258,-0.032258,-0.032258
-0.032258,-0.096774,-0.096774,-0.161290,-0.032258,-0.032258,-0.032258,-0.096774
-0.096774,-0.096774,-0.161290,-0.096774,-0.032258,-0.032258,-0.096774,0.096774
-0.096774,-0.161290,-0.096774,-0.032258,-0.032258,-0.096774,0.096774,-0.032258
-0.161290,-0.096774,-0.032258,-0.161290,-0.096774,0.096774,-0.032258,0.032258
-0.096774,-0.032258,-0.161290,-0.032258,0.096774,-0.032258,0.032258,-0.032258
-0.032258,-0.161290,-0.032258,-0.032258,-0.032258,0.032258,-0.032258,-0.032258
-0.161290,-0.032258,-0.032258,-0.032258,0.032258,-0.032258,-0.032258,-0.096774
-0.032258,-0.032258,-0.032258,-0.096774,-0.032258,-0.032258,-0.096774,-0.032258
-0.032258,-0.032258,-0.096774,-0.096774,-0.032258,-0.096774,-0.032258,-0.032258
-0.032258,-0.096774,-0.096774,-0.225806,-0.096774,-0.032258,-0.032258,0.032258
-0.096774,-0.096774,-0.225806,-0.032258,-0.032258,-0.032258,0.032258,-0.032258
-0.096774,-0.225806,-0.032258,-0.096774,-0.032258,0.032258,-0.032258,-0.032258
-0.225806,-0.032258,-0.096774,-0.032258,0.032258,-0.032258,-0.032258,-0.161290
-0.032258,-0.096774,-0.032258,-0.032258,-0.032258,-0.032258,-0.161290,0.032258
-0.096774,-0.032258,-0.032258,-0.161290,-0.032258,-0.161290,0.032258,0.032258
-0.032258,-0.032258,-0.161290,-0.096774,-0.161290,0.032258,0.032258,0.032258
-0.032258,-0.161290,-0.096774,-0.161290,0.032258,0.032258,0.032258,0.032258
-0.161290,-0.096774,-0.161290,0.096774,0.032258,0.032258,0.032258,0.096774
-0.096774,-0.161290,0.096774,-0.161290,0.032258,0.032258,0.096774,0.096774
-0.161290,0.096774,-0.161290,-0.161290,0.032258,0.096774,0.096774,0.096774
0.096774,-0.161290,-0.161290,-0.161290,0.096774,0.096774,0.096774,0.032258
-0.161290,-0.161290,-0.161290,-0.096774,0.096774,0.096774,0.032258,0.096774
-0.161290,-0.161290,-0.096774,-0.032258,0.096774,0.032258,0.096774,0.032258
-0.161290,-0.096774,-0.032258,-0.032258,0.032258,0.096774,0.032258,0.032258
