kernel_weights
0.285730
0.206906
-0.285730
0.125300

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.000502,0.001907,0.002603,0.025834,0.014709,0.063476,0.007062,0.003795

normal,abnormal
-0.032149,0.012803
-0.053582,-0.021067
-0.032149,-0.029151
-0.053582,-0.005451
-0.040233,0.034236
-0.027063,-0.050583
-0.063932,0.002632
-0.050583,-0.005631
-0.048317,-0.037234
-0.011448,0.007718
-0.038146,-0.032149
-0.042679,0.005451
-0.132583,-0.060934
-0.050404,-0.010537
0.015070,0.028419
-0.027063,0.020887
-0.063932,-0.066198
-0.050583,-0.052670
-0.040233,0.021067
-0.021799,0.007718
-0.027063,-0.018800
-0.072016,0.015802
-0.032149,-0.042499
-0.045498,0.008450
-0.058667,-0.023333
-0.005631,0.014447
-0.063932,0.024797
-0.037234,0.078012
-0.013715,0.091182
-0.024065,0.067662
-0.050583,0.107529
-0.018800,0.115613
-0.021799,0.102443
-0.021799,0.160745
-0.027063,0.131228
-0.055848,0.179179
-0.069017,0.125963
-0.010716,0.118059
-0.048317,0.170363
0.009984,0.135582
-0.021978,0.103799
-0.090450,0.063932
-0.024065,0.047764
-0.063932,0.087452
-0.045318,0.013535
-0.003364,-0.031238
-0.018980,0.047764
-0.066198,0.057935
-0.082187,0.023886
0.039501,-0.055669
-0.018980,0.034415
-0.055669,0.004720
-0.000366,-0.026884
-0.005631,0.004720
-0.042499,-0.053582
-0.029151,-0.032149
-0.018800,-0.045498
0.007718,-0.050583
-0.024065,-0.032149
-0.037234,-0.032149
0.007718,-0.015981
-0.040233,-0.060934
-0.008450,-0.031970
-0.008629,0.052670
-0.063932,-0.055848
-0.058667,-0.042320
-0.005631,0.018068
-0.063932,-0.005631
-0.037234,-0.058667
-0.021799,0.007718
-0.005631,-0.037414
-0.063932,-0.055669
-0.021067,0.023886
-0.058667,-0.069017
0.012983,-0.000187
-0.000545,0.041588
-0.060934,-0.029330
-0.037234,-0.063200
0.015802,-0.060754
-0.050583,0.044766
-0.021619,0.023154
0.041588,-0.032149
-0.058846,-0.024065
-0.060934,-0.050583
-0.050583,-0.018800
-0.018800,-0.013715
-0.005631,-0.015981
-0.050583,-0.069017
-0.010716,0.010716
-0.024065,-0.040233
-0.037234,0.021067
0.015802,-0.018980
-0.042499,-0.055669
-0.015802,-0.008450
0.015802,-0.003364
-0.004899,-0.018980
-0.044586,-0.074282
0.029330,-0.055669
0.057935,0.015802
0.023886,-0.034415
-0.031417,-0.042320
0.003364,0.015249
0.029882,0.041588
0.040965,-0.066930
0.011628,-0.058667
0.112062,-0.035147
0.108884,-0.037414
0.053582,-0.090450
0.037414,-0.002632
0.074282,-0.063932
0.047585,-0.023886
0.010716,0.004720
0.010716,-0.048317
0.018800,0.004720
0.008450,-0.075014
-0.012803,-0.032149
0.063932,-0.050763
