kernel_weights
-0.083778
0.246726
-0.465138
0.285730

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.014238,0.013747,0.015962,0.012699,0.017640,0.011109,0.015533,0.020666

normal,abnormal
0.037007,-0.026197
-0.032759,0.024370
0.037007,-0.029478
-0.032759,-0.001985
0.018572,0.043569
0.015684,-0.063830
-0.008920,0.051863
0.006998,-0.020792
-0.035276,-0.012498
0.024742,0.030540
-0.007094,-0.033821
0.077453,0.072813
-0.079451,-0.075405
0.025804,0.019337
0.002357,-0.017139
0.015684,0.063065
-0.008920,-0.037474
0.006998,-0.002750
-0.016841,0.011044
0.013167,-0.004874
0.015684,-0.017903
-0.027354,0.048974
0.037007,-0.045396
-0.014325,0.077156
-0.011436,-0.039598
0.050036,0.050429
-0.044334,-0.044238
0.022916,0.036041
-0.003812,-0.002262
0.020027,-0.010948
-0.028416,0.017999
0.017511,0.001019
-0.022246,-0.031506
0.013167,0.027450
0.015684,-0.060750
0.009514,0.057459
-0.023011,-0.058234
0.035945,-0.022448
-0.070690,-0.007592
0.059094,-0.022448
-0.005639,0.002453
-0.021949,-0.026494
0.055441,-0.027948
-0.044334,0.053020
0.004481,-0.014994
0.007762,-0.039226
0.034118,0.007465
-0.002060,0.000234
-0.055536,0.031994
0.076466,-0.077921
-0.036710,0.062375
-0.007093,-0.044631
0.012106,-0.000924
0.014622,0.026197
-0.009982,-0.032759
0.005936,0.037007
-0.017903,-0.014325
0.030540,0.006998
-0.015387,0.001593
-0.012498,0.001593
0.030540,0.038461
-0.052255,-0.039991
0.029085,-0.015015
0.010279,0.073578
-0.008920,-0.061314
-0.011436,0.008825
0.050036,0.006701
-0.044334,0.014622
0.022916,-0.046850
-0.022246,0.065954
0.050036,-0.031305
-0.044334,-0.007093
0.059784,0.067408
-0.082264,-0.093839
0.063437,0.030912
-0.006701,0.015387
-0.004577,0.022543
-0.012498,0.002283
0.048974,-0.056598
-0.063830,0.038536
-0.003440,-0.014622
0.050800,0.001593
-0.030243,0.020027
0.030837,-0.028416
-0.028416,0.017511
0.017511,-0.003812
0.014622,0.038461
-0.028416,-0.058425
0.035945,0.070297
-0.015387,-0.087669
-0.012498,0.081871
0.048974,-0.036710
-0.045396,-0.007093
0.021854,-0.006329
0.013560,0.007762
0.025825,0.034118
-0.055144,-0.020495
0.012870,-0.007093
0.000234,0.048974
0.031994,-0.026962
-0.022618,-0.026589
0.027651,-0.014250
0.005267,0.050800
0.028044,-0.048677
-0.076763,0.023977
0.039694,-0.002750
-0.018870,0.039523
-0.002655,-0.057363
-0.039523,0.089793
0.020495,-0.079748
-0.011341,0.038833
-0.000531,-0.009217
-0.000531,-0.035276
0.017903,0.061611
0.006329,-0.067111
-0.044631,0.072421
0.044334,-0.011809
