kernel_weights
0.246726
-0.083778
0.246726
-0.125300

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.000000,0.001268,0.002086,0.020297,0.014392,0.053975,0.003121,0.003660

normal,abnormal
-0.059356,0.028067
-0.014031,-0.033175
-0.059356,0.006744
-0.014031,-0.006495
-0.051272,-0.017257
-0.038033,0.020233
-0.038033,-0.046414
-0.043438,0.012149
-0.011352,-0.017007
-0.043188,-0.025091
-0.032378,0.004315
-0.096549,-0.057177
-0.016710,0.028067
-0.062082,-0.027817
-0.003518,0.022912
-0.038033,-0.043688
-0.038033,-0.006447
-0.043438,-0.030496
-0.019436,0.001339
-0.035354,0.006744
-0.038033,-0.001090
-0.029949,-0.033175
-0.059356,0.012149
-0.022115,-0.054748
-0.035354,0.030246
-0.051522,-0.018054
-0.006197,0.069619
-0.048843,0.034807
-0.011602,0.079882
-0.035604,0.074477
-0.011602,0.076905
-0.032925,0.100657
-0.003518,0.119254
-0.035354,0.105765
-0.038033,0.159173
-0.046117,0.089847
-0.027520,0.156495
-0.041009,0.114099
0.020483,0.127588
-0.056677,0.114646
-0.016710,0.072297
-0.045867,0.069869
-0.067440,0.054201
-0.006197,0.011602
-0.040759,0.030246
-0.019436,0.019686
-0.046117,0.022365
-0.038283,0.033175
-0.008923,-0.009423
-0.046414,0.030746
0.017554,-0.035901
-0.032925,0.036151
-0.017007,-0.024841
-0.019686,-0.027520
-0.019686,-0.014031
-0.025091,-0.059356
-0.001090,-0.022115
-0.025091,-0.043438
-0.003768,-0.027520
-0.017007,-0.027520
-0.025091,-0.043688
0.012399,-0.003768
-0.040759,-0.014328
-0.022115,-0.033175
-0.038033,0.017554
-0.035354,-0.038330
-0.051522,-0.001090
-0.006197,-0.019686
-0.048843,-0.003518
-0.003518,-0.056927
-0.051522,0.001637
-0.006197,-0.032925
-0.065011,-0.041259
0.028317,0.036151
-0.054248,-0.035651
0.001637,0.004315
-0.035604,-0.038283
-0.017007,-0.035854
-0.033175,0.009423
0.020233,-0.011900
-0.022162,0.020233
-0.027520,-0.027520
-0.016710,-0.035604
-0.067440,-0.011602
-0.011602,-0.032925
-0.032925,-0.011602
-0.019686,-0.043688
-0.011602,0.004315
-0.041009,-0.054498
-0.003768,0.044235
-0.017007,-0.062332
-0.033175,0.017554
0.012149,-0.032925
-0.030496,-0.008923
-0.001339,-0.019436
-0.017507,-0.046117
0.025091,-0.030199
0.006447,-0.032925
0.033175,-0.033175
-0.009423,0.004066
0.006495,-0.006495
-0.012399,0.009673
0.027270,-0.027520
0.021615,-0.008626
0.088215,-0.067190
0.045570,-0.029949
0.093620,-0.062035
0.045867,-0.014031
0.062035,-0.080928
0.030199,0.025638
0.041009,-0.054248
0.009173,0.004315
0.009173,-0.011352
0.001090,-0.059356
0.008923,-0.000542
0.035604,-0.091191
0.006197,-0.024794
