kernel_weights
0.543989
-0.000000
-0.642403
0.050773

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.024185,0.039976,0.077831,0.023151,0.020406,0.047594,0.028843,0.019398

normal,abnormal
-0.078078,0.007684
-0.071729,0.087703
0.036835,-0.110101
-0.046258,-0.062104
0.043184,-0.049534
-0.004610,0.036431
-0.074803,0.148068
-0.004610,0.042780
-0.014437,0.010960
0.116450,-0.030486
0.030284,-0.027210
-0.036835,-0.033559
0.074803,-0.033559
0.036431,-0.001739
0.046056,0.049534
0.007886,-0.081354
-0.075207,-0.030284
0.049331,0.030284
0.001537,0.001537
-0.068655,0.033357
-0.001739,0.042982
0.039706,0.001537
0.033155,-0.030284
0.090777,-0.039909
-0.036835,0.001537
-0.062306,0.030081
0.001537,0.087703
-0.040111,-0.036633
0.081152,-0.106825
0.036431,-0.001537
0.020787,0.001739
-0.123001,-0.039706
0.007684,-0.039706
0.148068,-0.007886
0.010960,0.036835
-0.027210,-0.007886
-0.068655,-0.001537
-0.033559,0.036835
-0.001739,-0.036431
0.036431,-0.071325
0.084428,-0.132222
-0.030284,0.081758
-0.110101,-0.013831
0.001537,-0.150940
0.049736,-0.055277
-0.157693,-0.023658
-0.068251,0.139050
-0.010758,0.059232
-0.080950,-0.004610
-0.014033,0.014107
0.014309,0.182962
0.180091,0.217856
0.138443,0.128542
0.074398,0.042174
0.157289,0.096318
0.080546,0.124862
0.096520,0.099189
0.061626,0.143910
-0.075079,0.022446
-0.227555,0.108410
-0.389657,0.191503
-0.411576,-0.006503
-0.331887,0.086013
-0.086619,0.114759
0.151694,0.009471
0.466474,0.054394
0.682720,-0.066666
0.542262,-0.098284
0.191503,-0.127159
-0.053765,0.035549
-0.168072,0.102667
-0.298556,-0.040791
-0.241062,-0.050416
-0.065582,0.039228
0.001335,-0.088181
0.049331,-0.167998
-0.030284,0.017107
-0.113376,0.017309
0.042982,-0.100678
0.036633,-0.065582
-0.033559,0.001335
0.001537,0.046056
-0.001739,0.007886
0.039706,-0.071931
0.042982,0.011162
-0.036835,-0.026806
0.001335,-0.196065
0.084428,-0.001537
-0.033559,0.107027
-0.065380,-0.042982
-0.043184,-0.001537
0.046258,0.040111
-0.008088,-0.081152
0.007886,-0.046258
0.036633,0.113376
-0.036835,-0.001335
0.049534,-0.112972
-0.084630,-0.042780
0.011162,-0.004408
0.027008,-0.045854
0.004610,-0.052405
0.081354,0.068858
-0.068453,0.024136
-0.119726,0.001941
0.078078,-0.045854
0.068453,-0.084226
0.004610,0.030688
0.046258,-0.010758
-0.068453,-0.042578
-0.113174,-0.058754
-0.001537,0.068858
0.027008,0.065784
0.081354,-0.084226
-0.004812,-0.007684
-0.033559,0.027412
0.039909,-0.010960
-0.039909,0.033761
