kernel_weights
-0.341438
-0.101286
-0.151281
0.543989

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.015768,0.036514,0.097031,0.023217,0.026206,0.015040,0.063444,0.012033

normal,abnormal
0.023724,-0.005002
0.035909,0.069299
0.011454,0.048979
-0.046470,0.109327
0.036708,-0.075031
0.008229,-0.071888
0.039216,-0.086581
-0.004840,-0.013961
-0.110128,0.043163
-0.010656,0.033403
-0.045669,0.061964
-0.017989,0.030176
-0.045751,0.023642
-0.052284,-0.033483
0.014600,0.081566
0.046471,-0.011372
-0.017988,0.045669
0.043162,-0.052203
0.014682,-0.004921
0.045670,-0.055511
-0.033483,0.011373
-0.023723,0.008148
-0.087380,0.058738
0.059456,-0.008147
0.008149,-0.004921
0.077458,-0.090607
0.008148,0.056230
-0.046551,0.040019
-0.013963,0.064471
-0.045750,-0.001613
0.141917,0.033483
-0.053002,0.023723
-0.018071,0.017188
-0.080046,-0.039936
0.043163,0.004920
0.068499,-0.033402
0.052204,-0.008148
0.023642,0.011454
-0.033483,0.058819
-0.058819,0.112716
0.027668,-0.075751
0.071807,0.068576
0.035910,0.011618
-0.004921,0.108689
0.119970,-0.024280
0.032765,-0.126343
0.096339,-0.077461
0.001775,-0.080685
0.032763,-0.011375
-0.046390,-0.202349
-0.177014,-0.166616
-0.131439,-0.194376
-0.153465,-0.023084
-0.116024,-0.103035
-0.083435,-0.036233
-0.096501,-0.108849
0.002171,-0.058341
0.075672,-0.000415
0.269155,-0.064873
0.395834,-0.055195
0.436024,0.022333
0.343164,-0.029856
0.078849,0.043479
-0.171760,0.009266
-0.536696,0.068816
-0.684765,0.152076
-0.618947,0.157892
-0.255957,0.233817
0.035402,0.026629
0.259873,0.049373
0.361216,0.028228
0.312413,0.113115
0.172107,0.039696
0.048897,0.161277
-0.030256,0.141839
0.049696,0.092873
0.071807,0.043082
0.000814,0.088020
0.004839,0.083994
-0.013880,0.048897
0.023642,-0.030256
0.001613,0.014600
-0.033483,0.046471
-0.023723,0.017108
0.017908,0.068498
-0.004920,0.138772
-0.036790,0.013163
0.027668,-0.021217
0.036711,-0.032602
0.080766,-0.011373
-0.043243,-0.008148
0.039935,0.046551
-0.058736,0.013963
0.026867,-0.059539
-0.013880,-0.007348
-0.011454,0.043325
0.081566,0.064552
-0.046468,0.013961
0.055429,0.027029
-0.080765,0.017269
-0.008229,-0.059458
0.030976,-0.026870
0.090608,-0.058657
-0.037509,0.058818
-0.023724,0.023804
-0.071005,-0.002333
-0.001694,-0.001534
0.053004,-0.004759
0.090608,0.045831
0.032683,-0.091246
-0.008148,-0.033404
-0.093834,-0.010493
0.017907,0.004201
-0.023640,-0.014601
0.017107,-0.030095
0.014681,-0.043163
-0.008147,0.001693
