kernel_weights
-0.341438
-0.050773
0.151281
0.151281

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.011019,0.022199,0.067214,0.013678,0.016609,0.007902,0.064192,0.005575

normal,abnormal
0.035448,0.007908
0.037889,-0.000317
-0.015160,0.063260
-0.002892,0.063193
-0.006168,-0.009376
-0.002124,-0.032940
0.035381,-0.076929
-0.008676,-0.007569
-0.037956,0.024220
-0.047716,0.033980
-0.028129,0.040464
0.011884,0.028196
-0.038656,0.024920
-0.023113,-0.006868
-0.001084,0.012652
0.021711,0.025688
0.030704,0.028129
0.005400,-0.031404
0.009443,-0.000384
0.046948,-0.028896
-0.006868,-0.006868
-0.016628,0.006168
-0.032873,0.034680
-0.001084,0.012652
0.024987,-0.000384
0.059217,-0.038656
0.006168,-0.006868
0.005400,0.028963
-0.026388,0.063193
-0.019837,-0.002892
0.050224,0.006868
0.031472,0.016628
0.001357,0.013352
-0.073653,-0.018436
0.024220,-0.018436
0.043740,-0.015160
0.050224,-0.006168
0.024920,-0.015160
-0.006868,0.026388
-0.026388,0.052393
-0.013353,0.007569
0.041232,-0.021011
0.056708,-0.012924
-0.000384,0.071846
0.019904,-0.016267
0.061452,-0.058583
0.048349,-0.096856
-0.013692,-0.065000
0.023813,-0.011951
-0.030003,-0.079504
-0.078804,-0.116036
-0.114568,-0.128938
-0.098957,-0.025281
-0.049885,-0.016222
-0.062853,-0.004721
-0.031766,-0.036442
0.002531,0.000362
0.038362,0.006914
0.147464,0.034726
0.226245,0.014438
0.273170,0.011997
0.221455,0.071597
0.082667,0.067554
-0.095861,0.043085
-0.292035,0.105894
-0.420317,0.113146
-0.436088,0.152186
-0.225365,0.181399
0.018548,0.112039
0.183974,0.060663
0.243235,0.023926
0.254396,0.106255
0.169425,0.080951
0.052732,0.084927
-0.001084,0.114975
0.008676,0.123900
0.041232,0.032512
0.046948,0.043039
-0.010144,0.081312
-0.015861,0.052732
0.024920,-0.001084
0.002892,-0.001084
-0.006868,0.021711
-0.016628,0.040464
-0.003592,0.024920
0.018436,0.054968
-0.004360,0.070445
-0.013353,-0.012719
0.031472,-0.059217
0.056708,0.006868
0.002892,-0.006168
-0.000384,-0.005400
-0.015861,0.026388
0.011884,-0.009443
-0.015861,-0.050224
0.015160,0.007636
0.012652,0.054901
0.015928,0.007569
0.018369,-0.004699
-0.037889,0.005061
0.002124,-0.017735
-0.015861,-0.049524
0.057476,-0.042972
0.031405,0.007569
-0.035448,0.008336
-0.047649,0.014053
0.005400,-0.030003
0.006168,-0.016968
0.057476,0.011545
0.050925,-0.030003
-0.006168,-0.052799
-0.044440,-0.045480
-0.022412,0.017329
-0.006101,-0.017735
0.021644,-0.036488
-0.009376,-0.024220
0.012652,-0.024220
