kernel_weights
0.000000
-0.427925
0.385528
-0.341438

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.031141,0.046305,0.064120,0.026761,0.028386,0.058559,0.178108,0.000928

normal,abnormal
0.067707,0.006693
-0.039990,-0.004176
-0.034410,0.092471
0.034519,-0.059283
-0.086891,0.084155
0.018071,-0.023651
-0.037145,0.034301
-0.037145,0.061909
0.028939,0.039881
-0.089735,0.064753
0.064863,0.015117
0.006802,0.039990
0.009537,0.012382
0.059174,0.034410
0.012273,-0.056547
0.042725,0.089735
0.084046,-0.064863
-0.037364,0.037255
0.067598,-0.015226
0.012382,0.034410
0.034410,-0.012491
0.009537,0.039990
0.081202,-0.009646
-0.034628,0.037255
0.117234,-0.015226
-0.012491,0.056438
0.039990,-0.059392
0.056438,0.070442
-0.015335,-0.012382
0.086782,-0.012382
-0.053812,-0.034410
0.161400,-0.009537
-0.048523,-0.037145
0.061909,-0.015117
0.039881,-0.062018
0.042725,0.012491
0.039990,-0.039990
0.012382,-0.034410
0.034410,-0.031566
0.031566,-0.078357
-0.009756,0.031893
0.045570,-0.210927
0.037255,-0.001004
-0.015226,-0.133464
-0.075731,-0.086563
0.067816,-0.072959
-0.136418,-0.141998
-0.031456,-0.012272
-0.086672,-0.064753
-0.064644,0.072996
-0.001404,-0.029340
-0.073287,0.127884
0.081202,0.083719
0.075513,0.229892
0.080983,0.127666
0.180256,0.254546
0.108482,0.226829
0.144514,0.235144
0.056511,0.353710
-0.006511,0.273512
-0.105456,0.287407
-0.212825,0.430845
-0.232191,0.278982
-0.276647,0.386679
-0.100640,0.359071
-0.040681,0.292986
0.121686,0.345576
0.223766,0.221540
0.342623,0.334635
0.276647,0.155165
0.210781,0.240833
0.180656,0.216070
0.092361,0.235363
0.037145,0.094769
0.059174,0.199840
-0.009756,0.136309
0.045570,0.061800
0.059283,0.070224
-0.040099,0.092361
0.039990,0.037145
0.012382,0.059174
0.012382,0.012273
0.034410,0.042725
0.009537,0.062018
0.015117,-0.034519
0.062018,-0.023250
0.031566,0.062237
-0.009756,-0.095206
0.067598,-0.034410
-0.009646,0.012491
0.059283,-0.039990
-0.062127,-0.056438
0.086891,0.015336
-0.040099,-0.020697
0.039990,-0.086891
0.034410,-0.003957
-0.056547,-0.034301
0.111764,-0.061909
-0.089735,-0.083937
0.086891,-0.059064
-0.018071,-0.042616
-0.006911,-0.114390
0.020806,-0.012272
0.056547,-0.108810
-0.067707,-0.031456
0.062018,-0.064644
0.009537,-0.111545
-0.006911,-0.059064
0.020806,-0.108701
0.012491,-0.017743
-0.039990,-0.141998
0.031675,-0.056329
-0.062127,-0.037036
0.064863,-0.089517
-0.015226,-0.061909
-0.009646,-0.039881
0.037255,-0.086782
