kernel_weights
0.413831
0.073239
-0.500731
0.109614

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.022655,0.017652,0.037593,0.022610,0.036852,0.026068,0.020711,0.021035

normal,abnormal
-0.037779,0.051625
-0.084073,0.075946
0.014185,-0.023901
0.095286,0.059579
-0.037779,0.019289
-0.077001,-0.049892
0.003095,-0.045290
0.010167,0.083049
-0.015066,0.109716
-0.049718,-0.020847
0.014011,-0.090151
0.028913,0.030236
0.055735,0.106488
-0.067122,0.062509
0.017271,-0.035872
0.083192,-0.001188
0.017239,0.065646
-0.047371,0.120048
-0.059137,-0.027160
0.098248,-0.001772
0.058840,0.068874
-0.041765,0.022548
-0.049718,-0.002685
0.014011,-0.037337
0.043056,0.040536
-0.030091,-0.016245
0.032172,0.045261
0.088798,0.003382
0.005442,0.063422
-0.048837,0.077411
-0.017413,-0.016121
0.009286,-0.063452
0.009286,0.037308
-0.004858,0.052967
0.080968,0.142935
-0.032470,0.059424
-0.025243,-0.044993
-0.035698,0.040710
0.043969,0.043056
0.090263,-0.030091
-0.022138,0.046316
-0.017413,0.024188
0.009286,0.000749
0.009286,0.069171
0.016358,-0.033935
-0.023019,-0.011807
0.014011,-0.002511
0.035985,0.000749
0.016358,0.055027
-0.008876,0.030675
-0.043528,-0.021257
0.020201,-0.055909
0.028031,0.014892
0.080087,-0.002511
0.013098,0.000749
-0.056083,0.055027
-0.030265,0.030675
-0.005913,-0.028329
0.053091,-0.016532
0.055438,-0.029210
-0.010638,0.000749
0.033464,0.069171
0.008989,-0.026863
0.051625,-0.037040
0.075946,-0.015948
0.011459,-0.018294
-0.101948,0.026566
0.035842,0.086451
0.108835,0.057374
-0.010638,-0.049544
0.019320,0.073312
0.087743,-0.004008
-0.008292,-0.116378
-0.046756,0.033054
0.096486,0.057374
0.121687,-0.014185
-0.002511,-0.095286
0.029036,0.051923
-0.038834,0.005319
-0.097806,0.052804
0.037482,-0.004890
0.133484,-0.063739
-0.001046,-0.030091
0.001456,0.046316
-0.028626,0.031259
0.018736,-0.017413
0.041468,0.002214
0.106201,0.027447
-0.011961,0.055027
-0.024362,0.023603
-0.060050,0.018120
-0.007963,-0.092939
0.062683,-0.021225
0.009286,0.081726
0.009286,0.030675
0.016358,-0.035400
-0.023019,0.008702
0.028155,-0.001630
-0.035698,-0.023603
0.043969,0.010167
0.090263,-0.043354
-0.015066,0.065359
-0.042646,0.045577
-0.011222,-0.043938
0.008404,0.068587
0.047782,-0.051923
-0.010464,-0.005319
0.078621,-0.052804
0.019462,0.026105
-0.018878,-0.019033
0.015650,-0.034488
0.067706,0.114913
-0.006355,-0.012546
-0.029087,-0.042349
-0.079677,-0.060634
-0.040268,-0.025950
0.074480,0.055027
