kernel_weights
-0.000000
0.443766
-0.073239
-0.472742

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.016543,0.007554,0.018464,0.012194,0.012846,0.015786,0.018466,0.020593

normal,abnormal
-0.089187,0.040774
0.027202,-0.046986
0.092926,0.009288
-0.017752,-0.013631
-0.089187,-0.110841
-0.003297,-0.088805
-0.003297,0.026598
-0.033797,0.069404
-0.069021,-0.077485
-0.014617,-0.147935
0.018738,-0.039126
0.020608,0.058084
-0.066166,0.005549
-0.017473,-0.084080
0.082593,-0.063031
-0.003297,0.029454
-0.064296,0.066548
-0.073747,-0.044130
0.075012,-0.054567
0.058688,0.040774
-0.062427,-0.016486
-0.069021,-0.046986
-0.014617,-0.082211
0.018738,-0.027806
-0.040391,-0.055450
0.015882,-0.032531
0.084462,-0.026820
0.001428,-0.002032
-0.062427,0.038904
-0.038522,-0.082211
-0.009892,-0.119305
-0.009892,-0.039126
-0.009892,0.027585
0.051107,0.092322
-0.030941,0.050224
-0.071877,-0.073747
-0.042261,0.014013
0.011157,0.018738
0.082593,-0.040391
-0.033797,0.015882
-0.038522,0.023463
-0.009892,-0.008022
-0.009892,0.055832
-0.009892,-0.029072
-0.040391,-0.036652
-0.014617,-0.005167
0.018738,-0.008022
-0.009892,0.055832
-0.040391,0.031927
-0.075616,-0.027202
-0.021212,-0.062427
0.012144,-0.008022
0.044513,-0.005167
-0.007036,-0.008022
-0.104246,0.055832
-0.082211,0.031927
-0.058306,-0.027202
0.000824,-0.031927
0.005549,-0.033797
-0.053580,-0.008022
-0.027806,0.055832
-0.024950,-0.029072
0.002693,-0.067152
0.040774,-0.040391
-0.046986,-0.045116
-0.143210,0.014013
-0.037256,0.079737
0.062809,0.060557
-0.053580,-0.027202
-0.027806,0.059571
0.036049,0.010878
-0.048855,-0.119687
-0.086936,0.022477
0.061823,0.060557
0.106498,-0.027202
-0.005167,-0.092926
-0.008022,0.017752
-0.066166,0.028188
-0.139471,0.024347
0.002693,0.004284
0.101773,-0.095782
-0.007036,-0.040391
-0.043247,0.015882
-0.042261,0.023463
-0.019342,-0.038522
0.047368,-0.009892
0.081607,0.020608
0.004284,0.055832
-0.065283,0.031927
-0.066166,0.003297
-0.047972,-0.088201
0.047368,-0.041378
-0.009892,0.084462
-0.009892,0.031927
-0.009892,-0.027202
-0.040391,-0.001428
-0.014617,0.001428
-0.042261,-0.031927
0.011157,-0.003297
0.082593,-0.033797
-0.033797,0.052977
-0.069021,0.065282
-0.045116,-0.025333
-0.016486,0.064296
0.014013,-0.017752
-0.011761,-0.028188
0.046382,-0.024346
0.028188,-0.004284
-0.036652,0.004284
0.025333,-0.034783
0.057702,0.121556
0.006153,0.012748
-0.060557,-0.053963
-0.094796,-0.057702
-0.078472,-0.036652
0.042643,0.055832
-0.011761,0.031927
