kernel_weights
0.216625
-0.181397
0.285338
0.216625

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.038407,0.067817,0.099225,0.051081,0.128551,0.053287,0.031031,0.011363

normal,abnormal
0.038462,0.077213
-0.038575,0.128571
-0.043008,0.091077
-0.026195,0.070508
0.038462,0.158683
-0.024599,0.139710
0.017329,0.132440
0.031305,0.079486
0.063689,0.156523
0.056419,0.179365
0.040283,0.164825
0.051986,0.118577
0.061529,0.151526
0.086531,0.163229
-0.017780,0.172095
0.059256,0.116304
0.045280,0.109598
0.082098,0.112435
0.016765,0.149140
0.003465,0.049262
0.070959,0.114595
0.049713,0.100620
0.056419,0.133004
0.040283,0.125734
0.079938,0.137550
0.056419,0.172095
-0.006077,0.125847
0.026871,0.172095
0.043008,0.079486
0.035738,0.174932
0.038010,0.167662
0.051986,0.178801
0.051986,0.132553
0.024035,0.128007
0.029144,0.054371
0.093801,0.138001
0.040283,0.044716
0.088804,0.054259
-0.003805,0.079938
0.073232,0.056419
0.049713,0.021874
0.038010,0.063689
0.051986,-0.008350
0.051986,0.026871
0.065962,0.047441
0.070395,0.005626
0.040283,0.049713
0.065962,-0.008350
0.065962,-0.001080
0.098347,0.010623
0.091077,0.029032
0.074941,0.021762
0.072668,0.019602
0.049826,0.049713
0.124026,-0.008350
0.105053,-0.001080
0.139710,0.010623
0.128007,0.015056
0.123574,0.017329
0.149253,0.035738
0.139710,-0.008350
0.123574,0.026871
0.139710,0.061416
0.077213,0.038010
0.128571,0.084371
0.160956,0.058692
0.162552,0.026307
0.086192,0.001193
0.177204,0.024599
0.139710,-0.026872
0.095622,-0.051874
0.130844,0.066414
0.165389,-0.020166
0.086080,-0.026759
0.044829,0.024599
0.075505,0.043008
0.049713,0.026195
0.047553,-0.010510
0.142434,0.047441
0.083807,-0.031192
0.049262,0.087095
0.077778,0.024035
0.096074,0.056419
0.054259,0.021874
0.102780,0.077665
0.028580,0.038010
0.038010,0.038010
-0.003240,0.005626
0.073119,-0.001080
0.019602,-0.003353
0.100507,0.024599
0.014604,0.051874
0.079938,-0.034029
0.051986,0.012896
0.051986,0.010623
0.065962,0.001080
0.070395,-0.015056
0.068235,0.029032
0.088804,0.003353
-0.003805,0.031305
0.073232,0.007786
0.063689,-0.045168
0.070395,0.022326
0.072668,-0.059256
0.072668,-0.040171
0.068235,0.010510
0.056419,-0.047441
0.003465,0.031192
0.075392,-0.045168
-0.008350,0.059144
0.003353,-0.082662
-0.019489,-0.026195
0.040735,0.006077
0.031305,-0.017329
0.100507,0.033465
0.033013,-0.022326
0.082211,-0.001080
