kernel_weights
0.411875
-0.231500
-0.324636
-0.100704

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.028512,0.026054,0.035481,0.007475,0.018782,0.037847,0.035815,0.013845

normal,abnormal
0.018078,0.075983
0.045139,-0.025167
0.018078,-0.013042
0.045139,-0.000536
0.024575,0.048922
0.059586,0.008390
0.012069,-0.012662
-0.002866,0.049410
0.036700,-0.012173
0.078589,0.028846
0.108460,0.029335
0.029327,-0.010720
-0.041456,-0.019051
-0.052813,-0.042044
0.104293,0.094985
0.059586,0.058229
0.012069,-0.016241
-0.002866,-0.081123
0.030203,0.019539
0.051148,0.034475
0.059586,0.014399
0.018566,0.022349
0.018078,0.001893
0.038642,-0.053097
0.003631,-0.047849
0.038154,-0.132222
0.017698,-0.087896
-0.017802,-0.103320
0.050279,-0.062680
0.017209,-0.125133
0.002762,-0.119993
0.008771,-0.120861
0.056776,-0.150244
0.051148,-0.124160
0.059586,-0.090602
0.005572,-0.103216
-0.023810,-0.082164
0.002274,-0.131242
0.042329,-0.014775
0.057156,0.015964
0.101094,-0.001301
-0.008006,-0.006441
0.011581,0.000925
0.017698,0.044755
-0.011305,-0.000332
0.077720,-0.091299
0.053089,-0.004704
-0.021869,0.072684
-0.053193,0.021481
0.034855,-0.027489
0.064346,-0.001025
-0.038746,0.082480
0.035343,0.015268
0.043782,0.071223
-0.003735,0.045139
-0.018670,0.018078
0.014399,0.038642
0.028846,-0.002866
0.022838,0.023706
-0.012173,0.023706
0.028846,0.010712
0.035832,-0.024679
0.036212,-0.020612
0.086159,0.069866
0.012069,0.016829
0.003631,-0.053681
0.038154,0.061916
0.017698,0.043782
-0.017802,0.009259
0.056776,0.023218
0.038154,0.037773
0.017698,-0.038746
-0.030796,0.015852
0.014887,-0.012554
0.014780,-0.014603
0.085290,0.124368
-0.030307,0.025648
-0.012173,-0.064246
0.022349,-0.068997
0.008390,0.032045
0.006829,0.103424
0.118740,0.023706
0.053577,0.017209
-0.035936,0.002762
0.002762,0.008771
0.008771,0.050279
0.043782,0.010712
0.002762,-0.018182
0.002274,-0.019159
0.022838,0.041460
-0.012173,0.008283
0.022349,0.064346
0.001893,-0.038746
-0.033606,0.041840
0.027978,0.077720
-0.032533,0.053089
-0.076363,-0.015372
