kernel_weights
-0.439450
0.354431
0.133919
0.133919

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.006557,0.019004,0.032872,0.033944,0.022001,0.016370,0.031528,0.022821

normal,abnormal
0.002019,-0.085467
-0.049199,0.031094
0.002019,0.002743
-0.049199,0.008329
-0.006620,-0.034249
-0.049199,-0.028764
-0.012207,0.036681
0.010659,-0.057116
-0.034972,0.013814
-0.052252,-0.014537
-0.097985,-0.037404
-0.006722,0.031094
0.010558,-0.011484
0.076104,0.059547
-0.091675,-0.088520
-0.049199,-0.037404
-0.012207,-0.005999
0.010659,0.082312
-0.026332,-0.011382
-0.034972,-0.034249
-0.049199,-0.014537
-0.020847,-0.005897
0.002019,-0.020124
-0.040559,0.071241
0.002019,0.017591
-0.017692,0.131822
-0.031919,0.055407
0.033526,0.101140
-0.046044,0.038850
-0.009052,0.098708
-0.009052,0.101863
0.005174,0.090791
-0.054684,0.113658
-0.034972,0.108173
-0.049199,0.048314
-0.003567,0.099533
0.019299,0.034088
0.013814,0.110604
-0.054684,0.005115
-0.020745,-0.029546
-0.100417,-0.004350
0.007505,-0.007505
0.010659,-0.005073
-0.031919,-0.027939
0.024886,-0.019401
-0.063324,0.074395
-0.040559,0.014639
0.013713,-0.068086
0.042166,-0.016969
-0.000311,0.002743
-0.079982,0.031196
0.042166,-0.094107
-0.023177,-0.003466
-0.037404,-0.054684
-0.000412,-0.049199
0.022454,0.002019
-0.014537,-0.040559
-0.014537,0.010659
-0.028764,-0.017692
0.013814,-0.017692
-0.014537,-0.000412
-0.046044,0.008228
-0.012106,0.028041
-0.077550,-0.042889
-0.012207,-0.042991
0.002019,0.065032
-0.017692,-0.051529
-0.031919,-0.037404
0.033526,-0.017692
-0.054684,0.005174
-0.017692,-0.051630
-0.031919,0.042166
0.050806,0.002743
-0.037404,-0.020124
0.019401,0.042267
-0.088622,-0.111387
0.027939,-0.023279
0.013814,0.053859
-0.005897,0.053961
-0.028764,-0.005796
0.010761,-0.102747
-0.091675,-0.017692
-0.063425,-0.009052
0.047651,-0.009052
-0.009052,0.005174
