kernel_weights
0.294182
0.067262
0.411875
-0.411875

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.003510,0.024427,0.038542,0.053308,0.033393,0.021610,0.046060,0.035888

normal,abnormal
-0.080531,0.021960
-0.012745,-0.057212
-0.080531,0.014913
-0.012745,0.019253
-0.053958,-0.045825
-0.065891,0.037146
-0.058297,-0.052872
-0.053958,0.002980
0.018167,-0.004066
-0.034979,-0.038232
-0.043658,0.010574
-0.187907,-0.110357
-0.028471,0.037146
-0.037686,0.004613
0.002980,0.052872
-0.065891,-0.095717
-0.058297,-0.039318
-0.053958,-0.018706
-0.008406,0.011659
-0.034979,0.007320
-0.065891,0.014913
-0.031725,-0.064805
-0.080531,0.010574
-0.039318,-0.106017
-0.027385,0.007320
-0.088124,-0.051786
-0.012745,0.084870
-0.049618,0.040404
-0.015999,0.074023
-0.061551,0.085956
-0.008406,0.082702
-0.030639,0.101682
0.010574,0.159167
-0.034979,0.129340
-0.065891,0.223698
-0.084870,0.102768
-0.027385,0.192786
-0.057212,0.190079
0.063719,0.197125
-0.057212,0.169467
-0.051251,0.100596
-0.050704,0.103850
-0.107103,0.111443
-0.012745,0.000813
-0.023046,-0.000273
-0.015999,0.050165
-0.092463,0.065891
-0.084870,0.049618
0.030099,-0.045825
-0.060465,0.068058
-0.001359,-0.029553
-0.023046,0.048532
-0.011660,-0.004066
-0.042572,-0.042572
-0.034979,-0.012745
-0.030639,-0.080531
0.014913,-0.039318
-0.038232,-0.053958
-0.015999,-0.034979
-0.004066,-0.034979
-0.038232,-0.088124
0.037146,-0.008406
-0.030639,0.026846
-0.046911,-0.072398
-0.058297,0.006234
-0.027385,-0.018706
-0.088124,0.007320
-0.012745,-0.042572
-0.049618,0.018167
0.010574,-0.083784
-0.088124,-0.020339
-0.012745,-0.023046
-0.102764,-0.091377
0.063719,0.063719
-0.052872,0.004613
-0.027932,-0.004613
-0.053958,-0.092463
-0.004066,-0.080531
-0.064805,0.053418
0.037146,0.015999
0.026846,0.021960
-0.050165,-0.034979
-0.043658,-0.061551
-0.099510,-0.008406
-0.008406,-0.030639
-0.030639,-0.015999
-0.042572,-0.088124
-0.008406,0.018167
-0.057212,-0.079445
-0.015999,0.082698
-0.004066,-0.079445
-0.064805,-0.001359
0.010574,-0.023046
-0.026299,0.014913
-0.019253,-0.015999
-0.064805,-0.092463
0.045825,-0.058297
