kernel_weights
-0.033669
-0.466221
0.033669
-0.354431

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.081145,0.045551,0.060154,0.000954,0.034728,0.081613,0.124863,0.008758

normal,abnormal
0.079418,0.052207
0.132363,0.005778
0.079418,0.028645
0.132363,0.019260
0.102284,-0.000738
0.107325,0.081590
0.111669,-0.003606
0.081590,0.054379
0.125151,0.051511
0.120807,0.024300
0.180964,0.079418
0.093842,-0.019260
0.148264,0.060896
0.046471,-0.008646
0.095768,0.065689
0.107325,0.029340
0.111669,0.068108
0.081590,0.002911
0.102284,-0.005778
0.100112,0.024300
0.107325,0.049339
0.134535,0.001434
0.079418,0.058724
0.109497,-0.070033
0.104457,-0.037782
0.054379,-0.171580
0.111669,-0.150885
0.051511,-0.236082
0.077246,-0.231042
0.056551,-0.256776
0.081590,-0.311893
0.049339,-0.334760
0.100112,-0.339800
0.100112,-0.397090
0.107325,-0.321278
0.088802,-0.399262
0.083762,-0.314066
0.026473,-0.326318
0.125151,-0.282061
0.067861,-0.199037
0.135231,-0.166786
0.136708,-0.111669
0.056551,-0.065936
0.111669,-0.085934
0.074378,-0.042127
0.097940,-0.050035
0.084458,-0.065936
0.068108,-0.010123
0.078722,-0.021433
-0.007951,0.053684
0.084458,-0.035857
0.053684,0.075074
0.047167,0.072206
0.054379,0.075074
0.058724,0.132363
0.028645,0.079418
0.049339,0.109497
0.024300,0.081590
0.056551,0.079418
0.051511,0.079418
0.024300,0.033685
0.102284,0.060896
0.070034,0.044299
0.105152,-0.002910
0.111669,0.088802
0.104457,0.023605
0.054379,0.044995
0.111669,0.054379
0.051511,0.104457
0.100112,0.024300
0.054379,0.086630
0.111669,0.053684
0.005778,-0.021433
0.104457,0.083762
0.017088,0.012048
0.082286,0.070729
0.060896,0.063764
0.051511,0.017335
0.001434,0.025777
0.081590,-0.015163
0.064993,0.072901
0.070729,0.079418
0.139575,0.056551
0.060896,0.081590
0.081590,0.049339
0.049339,0.077246
0.054379,0.033685
0.081590,0.083762
0.026473,-0.026473
0.056551,0.102284
0.051511,-0.005778
0.001434,0.084458
0.058724,0.053684
-0.001434,0.070033
0.001434,0.097940
-0.039955,0.084458
-0.019956,0.090975
-0.063764,0.053684
-0.010123,0.001434
-0.021433,0.035857
-0.014916,0.023605
-0.097940,0.060649
-0.122979,0.070729
-0.196618,0.162442
-0.155925,0.104457
-0.224772,0.130191
-0.138880,0.086630
-0.132363,0.136708
-0.086630,0.003606
-0.090975,0.111669
-0.030817,0.021433
-0.026473,0.075074
-0.026473,0.125151
-0.049339,0.075074
-0.070033,0.185309
-0.052207,0.079418
-0.111669,0.116709
-0.005778,0.108801
-0.012991,0.024300
-0.025777,0.132363
0.038029,0.072206
-0.052207,0.059419
-0.051511,0.093147
-0.001434,-0.044995
-0.081590,0.051511
-0.019260,0.009876
-0.075073,0.093596
-0.079418,0.130191
-0.010818,0.109497
-0.063068,0.111669
0.054379,0.058724
0.021433,0.058724
0.044995,0.028645
0.100112,0.049339
0.077246,-0.021433
0.086630,0.060896
0.106629,-0.054379
0.024300,0.024300
0.086630,-0.003606
0.030817,0.047167
0.049339,0.024300
0.047167,0.056551
0.122979,0.005778
0.052207,0.028645
0.141748,-0.003606
0.030817,0.070034
0.056551,-0.000738
0.074378,0.065936
0.044995,-0.019956
0.130191,-0.026473
0.010818,-0.049339
0.138880,-0.047167
0.012048,-0.077246
0.123674,-0.056551
0.109497,-0.081590
0.088802,-0.026473
0.060896,-0.056551
0.028645,-0.051511
0.049339,-0.070033
0.070033,-0.143673
0.052207,-0.080114
0.065936,-0.242598
0.032989,-0.117939
-0.003606,-0.252431
-0.067166,-0.236082
-0.010572,-0.199733
-0.180964,-0.201210
-0.125151,-0.083762
-0.180964,-0.109497
-0.162442,0.032743
-0.073148,0.046920
-0.051758,0.240875
0.116462,0.254604
0.166540,0.387705
0.222353,0.355454
0.332588,0.489251
0.309721,0.514290
0.326318,0.549409
0.190595,0.654604
0.001928,0.643047
-0.254110,0.683206
-0.503182,0.792745
-0.614360,0.705377
-0.628335,0.793441
-0.354718,0.769879
-0.045982,0.699107
0.358277,0.682757
0.616981,0.526094
0.743364,0.564614
0.637024,0.442823
0.469051,0.505848
0.309519,0.461592
0.154781,0.454379
0.083762,0.328490
0.102284,0.342219
0.054379,0.249115
0.065936,0.185309
0.055856,0.169654
