normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.000502,0.001907,0.002603,0.025834,0.014709,0.063476,0.007062,0.003795
0.014238,0.013747,0.015962,0.012699,0.017640,0.011109,0.015533,0.020666
0.021512,0.020334,0.023632,0.009408,0.019511,0.012185,0.021393,0.029518
0.000000,0.001268,0.002086,0.020297,0.014392,0.053975,0.003121,0.003660
0.024185,0.039976,0.077831,0.023151,0.020406,0.047594,0.028843,0.019398
0.015768,0.036514,0.097031,0.023217,0.026206,0.015040,0.063444,0.012033
0.011019,0.022199,0.067214,0.013678,0.016609,0.007902,0.064192,0.005575
0.031141,0.046305,0.064120,0.026761,0.028386,0.058559,0.178108,0.000928
0.022655,0.017652,0.037593,0.022610,0.036852,0.026068,0.020711,0.021035
0.016543,0.007554,0.018464,0.012194,0.012846,0.015786,0.018466,0.020593
0.033140,0.048483,0.065207,0.039098,0.086686,0.037627,0.025559,0.012471
0.038407,0.067817,0.099225,0.051081,0.128551,0.053287,0.031031,0.011363
0.028512,0.026054,0.035481,0.007475,0.018782,0.037847,0.035815,0.013845
0.006557,0.019004,0.032872,0.033944,0.022001,0.016370,0.031528,0.022821
0.003510,0.024427,0.038542,0.053308,0.033393,0.021610,0.046060,0.035888
0.081145,0.045551,0.060154,0.000954,0.034728,0.081613,0.124863,0.008758
