mlp_weights
0.526127,-0.313908,0.652535,-0.526127
0.750730,0.129223,-0.750730,0.371231
0.613631,0.425857,0.371231,0.254202
-0.254202,0.129223,-0.313908,0.477546

normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.000000,0.045710,0.000000,0.135470,0.329915,0.039767,0.000000,0.109106
0.245683,0.057903,0.009167,0.077946,0.122951,0.029103,0.013756,0.048625
0.389953,0.072101,0.046278,0.067829,0.140568,0.047019,0.012687,0.077437
0.000000,0.037038,0.000000,0.107773,0.275545,0.023913,0.000000,0.084254
0.852703,0.339735,0.074539,0.332137,0.332572,0.081604,0.000000,0.132098
0.900445,0.444343,0.117003,0.413319,0.342208,0.125150,0.143644,0.076749
0.607007,0.300331,0.112706,0.262645,0.295567,0.133988,0.151513,0.073972
0.843431,0.271829,0.009686,0.301179,0.942982,0.418985,0.226766,0.294890
0.428238,0.142104,0.084550,0.151040,0.260069,0.018744,0.031235,0.031430
0.227814,0.052628,0.082137,0.046536,0.138714,0.047905,0.000000,0.076524
0.845625,0.289074,0.000000,0.360890,0.484923,0.000000,0.190284,0.000000
1.199505,0.459192,0.000000,0.550113,0.695029,0.000000,0.291014,0.000000
0.548578,0.105743,0.099476,0.073169,0.318642,0.090035,0.000000,0.111640
0.294883,0.189293,0.000000,0.283907,0.210039,0.065040,0.037099,0.075313
0.305210,0.255548,0.000000,0.428076,0.297197,0.092990,0.064006,0.108359
1.144449,0.062022,0.411035,0.000000,0.864267,0.302907,0.028050,0.269209
