mlp_weights
-0.383794,0.766281,-0.383794,-0.383794
-0.383794,-0.000000,0.383794,0.383794
0.324872,-0.324872,0.324872,-0.383794
-0.383794,-0.199538,-0.383794,-0.383794

normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.000000,0.000000,0.000000,0.000000,0.000000,0.245007,0.000000,0.000000
0.000000,0.141500,0.000000,0.000000,0.000000,0.084883,0.000000,0.000000
0.000000,0.225296,0.000000,0.000000,0.000000,0.093471,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.206084,0.000000,0.000000
0.000000,0.469293,0.000000,0.000000,0.000000,0.242301,0.000000,0.000000
0.000000,0.474787,0.000000,0.000000,0.000000,0.212355,0.000000,0.000000
0.000000,0.313559,0.000000,0.000000,0.000000,0.172331,0.000000,0.000000
0.000000,0.486085,0.000000,0.000000,0.000000,0.625756,0.000000,0.000000
0.000000,0.225547,0.000000,0.000000,0.000000,0.193924,0.000000,0.000000
0.000000,0.115548,0.000000,0.000000,0.000000,0.096528,0.000000,0.000000
0.000000,0.480177,0.000000,0.000000,0.000000,0.328499,0.000000,0.000000
0.000000,0.674769,0.000000,0.000000,0.000000,0.464531,0.000000,0.000000
0.000000,0.311335,0.000000,0.000000,0.000000,0.235309,0.000000,0.000000
0.000000,0.141152,0.000000,0.000000,0.000000,0.141963,0.000000,0.000000
0.000000,0.123767,0.000000,0.000000,0.000000,0.196526,0.000000,0.000000
0.000000,0.619785,0.000000,0.000000,0.000000,0.635686,0.000000,0.000000
