mlp_weights
0.385535,-0.385535,-0.000000,-0.385535
-0.385535,0.995516,-0.385535,-0.385535
-0.385535,-0.385535,-0.385535,0.385535
-0.385535,-0.385535,-0.385535,0.385535

normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.000000,0.000000,0.000000,0.000000,0.000000,0.383692,0.000000,0.000000
0.000000,0.208761,0.000000,0.000000,0.000000,0.132931,0.000000,0.000000
0.000000,0.332389,0.000000,0.000000,0.000000,0.146380,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.322737,0.000000,0.000000
0.000000,0.692368,0.000000,0.000000,0.000000,0.379454,0.000000,0.000000
0.000000,0.700474,0.000000,0.000000,0.000000,0.332557,0.000000,0.000000
0.000000,0.462606,0.000000,0.000000,0.000000,0.269878,0.000000,0.000000
0.000000,0.717142,0.000000,0.000000,0.000000,0.979964,0.000000,0.000000
0.000000,0.332758,0.000000,0.000000,0.000000,0.303694,0.000000,0.000000
0.000000,0.170472,0.000000,0.000000,0.000000,0.151168,0.000000,0.000000
0.000000,0.708425,0.000000,0.000000,0.000000,0.514445,0.000000,0.000000
0.000000,0.995515,0.000000,0.000000,0.000000,0.727479,0.000000,0.000000
0.000000,0.459325,0.000000,0.000000,0.000000,0.368506,0.000000,0.000000
0.000000,0.208247,0.000000,0.000000,0.000000,0.222321,0.000000,0.000000
0.000000,0.182598,0.000000,0.000000,0.000000,0.307769,0.000000,0.000000
0.000000,0.914394,0.000000,0.000000,0.000000,0.995515,0.000000,0.000000
