classifier_weights
0.399630,0.399630
-0.996506,0.981157
-0.399630,-0.399630
-0.399630,-0.399630

pooled_features
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.000000,0.311086,0.000000,0.000000,0.000000,0.979982,0.000000,0.000000

classifier_logits
normal,,abnormal,
logit1,logit2,logit1,logit2
-0.309999,0.305224,-0.976558,0.961516

softmax_probabilities
normal,,abnormal,
prob1,prob2,prob1,prob2
0.350869,0.649131,0.125860,0.874140

prob_abnormal
0.649131,0.874140

threshold,0.774000
